ano,area_wsf_km2,area_wsf_erodido_km2,area_wsf_coerencia_km2,area_wsf_erodido_e_coerencia_km2,razao_piso_geometrico,n_manchas_wsf,mediana_px_por_mancha,p90_px_por_mancha,area_classificada_km2,razao_classificado_wsf,fracao_classificado_dentro_do_wsf,nota
2000,34.202,21.504,31.52,20.565,0.6013,613,2.0,16.0,14.044,0.4106,0.9267,"Parte A do teste de viés de sensor (§5.4). Operações morfológicas do protocolo (erosão 3x3 do treino, coerência 3x3 da predição) aplicadas ao PRÓPRIO WSF, sem imagem: mede quanto da razão classificação/WSF é geometria do protocolo e não capacidade de detecção."
2005,38.856,25.839,36.365,24.799,0.6382,562,2.0,19.900000000000034,20.732,0.5336,0.8906,"Parte A do teste de viés de sensor (§5.4). Operações morfológicas do protocolo (erosão 3x3 do treino, coerência 3x3 da predição) aplicadas ao PRÓPRIO WSF, sem imagem: mede quanto da razão classificação/WSF é geometria do protocolo e não capacidade de detecção."
2010,45.699,31.093,43.085,29.876,0.6538,545,3.0,38.0,29.559,0.6468,0.8902,"Parte A do teste de viés de sensor (§5.4). Operações morfológicas do protocolo (erosão 3x3 do treino, coerência 3x3 da predição) aplicadas ao PRÓPRIO WSF, sem imagem: mede quanto da razão classificação/WSF é geometria do protocolo e não capacidade de detecção."
2015,56.308,39.689,53.721,38.039,0.6756,480,8.0,57.200000000000045,38.758,0.6883,0.899,"Parte A do teste de viés de sensor (§5.4). Operações morfológicas do protocolo (erosão 3x3 do treino, coerência 3x3 da predição) aplicadas ao PRÓPRIO WSF, sem imagem: mede quanto da razão classificação/WSF é geometria do protocolo e não capacidade de detecção."
