ano,area_varzea_km2,cultivo_sequeiro_km2,cultivo_sequeiro_em_varzea_km2,fracao_sequeiro_em_varzea,cultivo_irrigado_km2,cultivo_irrigado_em_varzea_km2,fracao_irrigado_em_varzea,fracao_varzea_cultivada,selo,nota
2000,650.183,576.553,116.853,0.2027,47.102,26.79,0.5688,0.2209,observado,"varzea é camada ESTÁTICA (HAND aproximado, ver varzea.py); fracao_*_em_varzea = fração da área da classe de cultivo do ano que cai dentro da várzea — sustenta H5 se alta e estável; fracao_varzea_cultivada = fração da várzea coberta por cultivo (irrigado OU sequeiro) no ano."
2005,650.183,358.671,73.957,0.2062,16.389,12.739,0.7773,0.1333,observado,"varzea é camada ESTÁTICA (HAND aproximado, ver varzea.py); fracao_*_em_varzea = fração da área da classe de cultivo do ano que cai dentro da várzea — sustenta H5 se alta e estável; fracao_varzea_cultivada = fração da várzea coberta por cultivo (irrigado OU sequeiro) no ano."
2010,650.183,760.501,177.25,0.2331,152.651,47.42,0.3106,0.3456,observado,"varzea é camada ESTÁTICA (HAND aproximado, ver varzea.py); fracao_*_em_varzea = fração da área da classe de cultivo do ano que cai dentro da várzea — sustenta H5 se alta e estável; fracao_varzea_cultivada = fração da várzea coberta por cultivo (irrigado OU sequeiro) no ano."
2015,650.183,398.902,85.634,0.2147,42.66,20.831,0.4883,0.1637,observado,"varzea é camada ESTÁTICA (HAND aproximado, ver varzea.py); fracao_*_em_varzea = fração da área da classe de cultivo do ano que cai dentro da várzea — sustenta H5 se alta e estável; fracao_varzea_cultivada = fração da várzea coberta por cultivo (irrigado OU sequeiro) no ano."
2020,650.183,421.7,74.663,0.1771,34.552,20.543,0.5946,0.1464,observado,"varzea é camada ESTÁTICA (HAND aproximado, ver varzea.py); fracao_*_em_varzea = fração da área da classe de cultivo do ano que cai dentro da várzea — sustenta H5 se alta e estável; fracao_varzea_cultivada = fração da várzea coberta por cultivo (irrigado OU sequeiro) no ano."
2025,650.183,633.848,139.709,0.2204,107.484,35.334,0.3287,0.2692,observado,"varzea é camada ESTÁTICA (HAND aproximado, ver varzea.py); fracao_*_em_varzea = fração da área da classe de cultivo do ano que cai dentro da várzea — sustenta H5 se alta e estável; fracao_varzea_cultivada = fração da várzea coberta por cultivo (irrigado OU sequeiro) no ano."
