ano,area_propria_km2,area_wsf_km2,jaccard,erro_relativo_area,e_acuracia,papel_do_wsf,nota
2000,13.806,34.202,0.36,-0.5963,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
2005,20.478,38.856,0.442,-0.473,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
2010,36.795,45.699,0.5019,-0.1949,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
2015,70.47,56.308,0.4251,0.2515,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
