ano,area_construida_sem_restricao_km2,area_construida_apos_R1_km2,area_construida_apos_R2_km2,urbano_km2,industrial_km2,reassentamento_km2,primeira_deteccao_confirmavel,selo,nota
2000,16.858,13.806,13.806,13.806,0.000,0.000,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2005,23.636,20.478,20.478,20.478,0.000,0.000,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2010,33.313,28.854,29.869,28.159,7.431,1.204,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2015,55.562,39.568,41.659,37.278,31.546,1.646,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2020,41.996,38.569,44.287,39.455,41.494,0.704,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2025,39.634,39.634,50.318,43.103,56.676,1.089,False,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
