ano,janela,missao_do_ano_ancora,missao_usada,usou_missao_substituta,n_cenas_landsat,n_cenas_sentinel2,n_cenas_total,nuvem_max_pct_cena,fracao_pixels_cobertos,mediana_obs_por_pixel,viavel,motivo
2000,1999-11-01T00:00:00Z/2000-04-30T23:59:59Z,LANDSAT_7,LANDSAT_7,False,6,0,6,80,1.0,5.0,True,
2005,2004-11-01T00:00:00Z/2005-04-30T23:59:59Z,LANDSAT_5,LANDSAT_7,True,6,0,6,80,0.9987142089782036,4.0,True,
2010,2009-11-01T00:00:00Z/2010-04-30T23:59:59Z,LANDSAT_7,LANDSAT_5,True,5,0,5,80,0.9993350223478451,4.0,True,
2015,2014-11-01T00:00:00Z/2015-04-30T23:59:59Z,LANDSAT_8,LANDSAT_8,False,8,0,8,80,1.0,5.0,True,
2020,2019-11-01T00:00:00Z/2020-04-30T23:59:59Z,LANDSAT_8,LANDSAT_8,False,7,108,115,80,1.0,23.0,True,
2025,2024-11-01T00:00:00Z/2025-04-30T23:59:59Z,LANDSAT_9,LANDSAT_9,False,8,116,124,80,1.0,25.0,True,
