ano,area_propria_km2,area_wsf_km2,jaccard,erro_relativo_area,e_acuracia,papel_do_wsf,nota
2000,14.044,34.202,0.3694,-0.5894,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
2005,20.732,38.856,0.449,-0.4664,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
2010,29.559,45.699,0.5376,-0.3532,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
2015,38.758,56.308,0.5786,-0.3117,False,semente de treino — dependência por construção,"concordância entre dois produtos, NÃO acurácia. O WSF Evolution semeia os rótulos de treino desta classificação; a concordância é em parte tautológica e a discordância mede afastamento da semente, não erro contra o terreno. Acurácia está em acuracia_por_ano.csv."
