ano,area_construida_sem_restricao_km2,area_construida_apos_R1_km2,area_construida_apos_R2_km2,urbano_km2,industrial_km2,reassentamento_km2,primeira_deteccao_confirmavel,selo,nota
2000,16.928,14.044,14.044,14.044,0.000,0.000,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2005,23.875,20.732,20.732,20.732,0.000,0.000,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2010,33.324,28.546,29.559,28.264,7.453,1.204,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2015,51.712,36.393,38.758,36.761,30.153,1.931,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2020,38.867,36.105,41.378,39.206,46.433,2.001,True,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
2025,39.604,39.604,48.289,42.838,62.499,2.317,False,observado,"R1 = confirmação da primeira detecção no ano seguinte; R2 = permanência (união cumulativa). Colunas publicadas lado a lado para tornar visível quanto cada regra moveu a série. ATENÇÃO (docs/ADR/0011): `industrial_km2` e `reassentamento_km2` são PEGADAS, não subconjuntos da área construída — incluem rocha e solo exposto. Só `urbano_km2` é área construída. Não some as três colunas; a soma não tem significado. Detalhe em pegada_por_ano.csv."
