rotulo,t0,T,n_pre,n_pos,hac_lag,escala,c_deslocamento,estimavel,b0,b1_tendencia_pre,b2_nivel,b2_ic95_inf,b2_ic95_sup,b2_p,b3_inclinacao,b3_ic95_inf,b3_ic95_sup,b3_p,r2,durbin_watson,breusch_godfrey_p_ordem1,breusch_godfrey_p_ordem2,adf_resid_p,b2_nivel_ar1,b3_inclinacao_ar1,troca_sinal_hac_ar1,placebo,serie,unidade,quebra,b2_real_tete,b3_real_tete,b2_real_ic95_inf,b2_real_ic95_sup,b3_real_ic95_inf,b3_real_ic95_sup,real_estimavel,ano_falso,motivo_nao_estimavel,ressalva,veredito_pre_adr0015,veredito,ramo_b2_estado,ramo_b3_estado,mudanca_apos_adr0015,n_controles_que_replicam,n_controles,n_controles_que_replicam_pre_adr0015,regra,correlacao_capacidade_desfecho,mediana_nobs_por_ano,limiar_pre_registrado,o_que_a_falha_invalida,valores_por_ano_pct,sinais_ndvi,sinais_desfecho_S_SUST,n_sinais_coincidentes_de_5
P1|S_HARM_soma|xaixai|2022,2022.0,13.0,9.0,4.0,2.0,log,0.0,True,6.9604298939532505,-0.01599510818000245,0.24711451390347217,0.1623770283591606,0.33185199944778376,1.0924195487151455e-08,0.11927541614698,0.10091969377298314,0.13763113852097686,3.738072695286535e-37,0.9186197183035189,2.043343174341737,0.8943469490612433,0.6423554798476088,0.10624949821924351,0.25043846110132506,0.11771838917552624,False,P1_espacial,S_HARM_soma,xaixai,2022,-0.1814076398139337,0.0082650499338196,-0.2585746940348555,-0.1042405855930118,-0.0158546076259165,0.0323847074935557,True,,"ambos os ramos vazios (ADR 0015). b2: vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura. | b3: vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.",,replica,nao estimavel,"vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura.","vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.","replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P1|S_HARM_soma|inhambane|2022,2022.0,13.0,9.0,4.0,2.0,log,0.0,True,6.81578633151782,0.036419075171577275,0.21741526823365587,0.15151497018556737,0.28331556628174437,1.0048203028194165e-10,0.084760768811045,0.052433155852964965,0.11708838176912503,2.763657835942379e-07,0.9814397546049204,1.6369811717985383,0.715871168865973,0.042948624106041396,5.234326959209833e-05,0.23499608917992454,0.09144674365073713,False,P1_espacial,S_HARM_soma,inhambane,2022,-0.1814076398139337,0.0082650499338196,-0.2585746940348555,-0.1042405855930118,-0.0158546076259165,0.0323847074935557,True,,"ambos os ramos vazios (ADR 0015). b2: vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura. | b3: vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.",,replica,nao estimavel,"vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura.","vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.","replica -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P2|S_WSF_taxa|tete_aoi|falsa1999(real2005),1999.0,23.0,6.0,17.0,2.0,log,0.0009,True,-0.32002231071440373,0.08484411417333969,-0.58715945887057,-1.4672166437732637,0.2928977260321236,0.1909902702197105,0.031305334402932886,-0.08796345783276108,0.15057412663862685,0.6069403526414128,0.49134205929580943,2.161233093422709,0.6234401670948766,0.793152288579995,0.05834862867912136,-0.7258353165488204,-0.05352474702741561,True,P2_temporal,S_WSF_taxa,tete_aoi,2005,-0.4023850355079365,0.0636054175042013,-1.237427700517887,0.4326576295020141,-0.0312247219331436,0.1584355569415463,True,1999.0,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,passa,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"passa -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
P2|S_WSF_taxa|tete_aoi|falsa2008(real2011),2008.0,20.0,12.0,8.0,2.0,log,0.0009,True,-0.3335133150957519,0.022782394362156632,0.834976042480232,0.13057175400190213,1.5393803309585619,0.020164528918664198,0.01237533257726988,-0.1340676509820915,0.15881831613663128,0.8684489172202607,0.45537284060509753,2.202392949373166,0.5518125874266552,0.7954720810242883,0.08453955994438733,0.6608521305813176,-0.008563380006509677,True,P2_temporal,S_WSF_taxa,tete_aoi,2011,0.6129174140384048,-0.1829947831686519,-0.0083963061144259,1.2342311341912358,-0.3126159959187632,-0.0533735704185406,True,2008.0,,,FALHA,passa,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,FALHA -> passa AFROUXAMENTO. NAO reabilita nada: o ramo que disparava usava um coeficiente de referencia de Tete cujo IC95 inclui zero. O veredito pre-ADR 0015 fica na coluna ao lado e continua publicavel.,,,,,,,,,,,,
P2|S_HARM_soma|tete_aoi|falsa2014(real2016),2014.0,13.0,1.0,12.0,2.0,log,0.0,False,,,,,,,,,,,,,,,,,,,P2_temporal,S_HARM_soma,tete_aoi,2016,-0.1516229957191031,-0.1233039300224601,-0.2147758951966428,-0.0884700962415633,-0.1449412896941554,-0.1016665703507648,True,2014.0,"pre=1, pos=12: modelo segmentado de 4 parametros exige >=3 de cada lado","EMENDA E4: com janela iniciando em 2013, a quebra falsa de 2014 tem 1 ponto pre. Nao estimavel como quebra.",nao estimavel,nao estimavel,aplicavel,aplicavel,inalterado,,,,,,,,,,,,
P2|S_HARM_soma|tete_aoi|falsa2019(real2022),2019.0,13.0,6.0,7.0,2.0,log,0.0,True,8.963672134682769,0.09262238211006901,-0.08710072427806459,-0.1574454596748132,-0.016755988881315992,0.0152316486852474,-0.05450389909319586,-0.07609413758083194,-0.03291366060555979,7.503024089003847e-07,0.948862437651596,1.9347579676375928,0.823749892032229,0.1804143853602815,0.005490001278923115,-0.04297179944900531,-0.03690437960350956,False,P2_temporal,S_HARM_soma,tete_aoi,2022,-0.1814076398139337,0.0082650499338196,-0.2585746940348555,-0.1042405855930118,-0.0158546076259165,0.0323847074935557,True,2019.0,"ambos os ramos vazios (ADR 0015). b2: vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura. | b3: vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.",,passa,nao estimavel,"vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura.","vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.","passa -> nao estimavel (ramo vazio, ADR 0015)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,P1_espacial,S_WSF_taxa,AGREGADO,2005,,,,,,,,,ambos os ramos vazios (ADR 0015). b2: vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa | b3: vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,,passa,nao estimavel,vazio: IC95 do b2 de referencia de Tete [-1.2374; 0.4327] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,vazio: IC95 do b3 de referencia de Tete [-0.0312; 0.1584] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,"passa -> nao estimavel (ramo vazio, ADR 0015)",0.0,5.0,1.0,"ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,P1_espacial,S_WSF_taxa,AGREGADO,2011,,,,,,,,,,,FALHA,FALHA,vazio: IC95 do b2 de referencia de Tete [-0.0084; 1.2342] inclui zero — o teste relativo '>= 50% da magnitude' tem denominador que colapsa,aplicavel,inalterado,3.0,5.0,4.0,"ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,P1_espacial,S_HARM_soma,AGREGADO,2016,,,,,,,,,,,FALHA,FALHA,aplicavel,aplicavel,inalterado,4.0,5.0,5.0,"ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,P1_espacial,S_HARM_soma,AGREGADO,2022,,,,,,,,,"ambos os ramos vazios (ADR 0015). b2: vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura. | b3: vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.",,FALHA,nao estimavel,"vazio (desenho): ADR 0015 decisoes 2 e 4: o ramo b2 compara a soma de luz sobre um retangulo que CONTEM a mina de Moatize contra retangulos de controle sem mina. A queda de 2022 esta fora da Cidade de Tete (ADM2 +0,7%; resto do retangulo -12,7%). Geometrias nao comparaveis enquanto a decomposicao industrial/urbano/resto de §2.3 nao sustentar a leitura.","vazio (desenho): EMENDA E8 (escrita antes de estimar os placebos): a inclinacao pos-2022 e NAO ESTIMAVEL com 4 pontos pos. Aplicar E8 aqui e execucao de clausula anterior, nao emenda nova.","FALHA -> nao estimavel (ramo vazio, ADR 0015)",0.0,5.0,5.0,"ADR 0015: falha se >=2 controles com quebra de mesmo sinal, >=50% da magnitude de Tete e IC95 proprio que exclui zero, contados APENAS em ramos aplicaveis (coeficiente de referencia com IC95 que exclui zero). Todos os ramos vazios => nao estimavel.",,,,,,,,
