ano,area_bruta_rf_km2,area_apos_r1_km2,area_apos_r2_km2,area_urbano_publicado_km2,estoque_sustentado_pelo_ano_km2,estoque_herdado_da_uniao_km2,fracao_estoque_herdada,deteccao_do_ano_rejeitada_por_r1_km2,delta_r2_km2,delta_bruta_km2,delta_estoque_herdado_km2,razao_delta_r2_sobre_delta_bruta,nota
2000,16.928,14.044,14.044,14.044,14.044,0.0,0.0,2.885,,,,,Decomposição do estoque publicado (pós-R2) em (a) sustentado pela detecção do próprio ano e (b) herdado da união cumulativa. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado.
2005,23.875,20.732,20.732,20.732,20.732,0.0,0.0,3.143,6.689,6.947,0.0,0.963,Decomposição do estoque publicado (pós-R2) em (a) sustentado pela detecção do próprio ano e (b) herdado da união cumulativa. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado.
2010,33.324,28.546,29.559,28.264,28.546,1.012,0.0343,4.778,8.826,9.449,1.012,0.934,Decomposição do estoque publicado (pós-R2) em (a) sustentado pela detecção do próprio ano e (b) herdado da união cumulativa. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado.
2015,51.712,36.393,38.758,36.761,36.393,2.364,0.061,15.319,9.199,18.388,1.352,0.5,Decomposição do estoque publicado (pós-R2) em (a) sustentado pela detecção do próprio ano e (b) herdado da união cumulativa. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado.
2020,38.867,36.105,41.378,39.206,36.105,5.273,0.1274,2.761,2.621,-12.846,2.909,-0.204,Decomposição do estoque publicado (pós-R2) em (a) sustentado pela detecção do próprio ano e (b) herdado da união cumulativa. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado.
2025,39.604,39.604,48.289,42.838,39.604,8.686,0.1799,0.0,6.911,0.737,3.413,9.376,Decomposição do estoque publicado (pós-R2) em (a) sustentado pela detecção do próprio ano e (b) herdado da união cumulativa. Ver docs/ADR/0013. EXPERIMENTAL — regeneração determinística dos intermediários do RF que classificacao.py não persiste. Não substitui nenhum artefato publicado.
