painel,quebra,estimavel,n_pre,n_pos,gap_medio_pos_normalizado,rmspe_pre,rmspe_pos,razao_pos_pre,rank_razao_entre_6,p_permutacao,piso_de_p_por_permutacao,peso_max_doador,doador_dominante,dp_pre_tratado,did_coef_log,did_ic95_inf,did_ic95_sup,loo_desvio_relativo_max,loo_por_doador,F3_rmspe_pre_maior_que_meio_dp,F4_peso_concentrado_>0.80,F5_rank_nao_top2,F6_inversao_entre_paineis,F7_loo_desloca_mais_de_50pct,criterios_F_disparados,selo
A_area_WSF,2005,True,12,11,0.4792,0.319,1.5675,4.914,3,0.5,0.167,0.558,quelimane,0.5771,0.5405,-0.0307,1.1118,0.951,"{""chimoio"": 0.4792, ""quelimane"": 0.1916, ""lichinga"": 0.935, ""xaixai"": 0.4792, ""inhambane"": 0.4792}",True,False,True,nao aplicavel - nenhuma quebra e estimada nos dois paineis,True,F3_rmspe_pre_maior_que_meio_dp;F5_rank_nao_top2;F7_loo_desloca_mais_de_50pct,estimado
A_area_WSF,2011,True,18,5,0.7815,0.5025,1.1822,2.352,3,0.5,0.167,0.769,chimoio,0.6905,1.1505,0.4667,1.8343,0.859,"{""chimoio"": 1.453, ""quelimane"": 0.6105, ""lichinga"": 0.7949, ""xaixai"": 0.7815, ""inhambane"": 0.7815}",True,False,True,nao aplicavel - nenhuma quebra e estimada nos dois paineis,True,F3_rmspe_pre_maior_que_meio_dp;F5_rank_nao_top2;F7_loo_desloca_mais_de_50pct,estimado
B_luz_HARM,2016,True,3,10,0.0859,0.0427,0.3138,7.35,6,1.0,0.167,1.0,chimoio,0.1671,0.2121,0.0671,0.357,1.339,"{""chimoio"": -0.0292, ""quelimane"": 0.0859, ""lichinga"": 0.0859, ""xaixai"": 0.0859, ""inhambane"": 0.0859}",False,True,True,nao aplicavel - nenhuma quebra e estimada nos dois paineis,True,F4_peso_concentrado_>0.80;F5_rank_nao_top2;F7_loo_desloca_mais_de_50pct,estimado
B_luz_HARM,2022,True,9,4,-0.4692,0.1049,0.4985,4.755,2,0.333,0.167,1.0,inhambane,0.1939,-0.1206,-0.2757,0.0345,0.044,"{""chimoio"": -0.4692, ""quelimane"": -0.4692, ""lichinga"": -0.4692, ""xaixai"": -0.4692, ""inhambane"": -0.4488}",True,True,False,nao aplicavel - nenhuma quebra e estimada nos dois paineis,False,F3_rmspe_pre_maior_que_meio_dp;F4_peso_concentrado_>0.80,estimado
