unidade_geografica,ano,variavel,valor,unidade_medida,selo,nivel_fonte,fonte,metodo,nota
Provincia de Tete,2020,taxa_crescimento_pib_real,-2.1,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação'; fonte declarada no documento: INE Direcção de Contas Nacionais Indicadores Globais","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): série provincial de PIB do INE (Contas Regionais); não disponível diretamente em ine.gov.mz (erro de certificado TLS); lido via snapshot Wayback Machine 20251116031649 do PDF Folheto Provincial_Tete_2021.pdf"
Mocambique,2020,taxa_crescimento_pib_real,-1.2,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação', coluna Nacional","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): valor nacional publicado no mesmo folheto provincial de Tete, para comparação; mesma proveniência do valor provincial nesta linha"
Provincia de Tete,2020,pib_per_capita_usd,411,USD,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação'","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): PIB per capita provincial declarado; ver nota da primeira linha sobre acesso"
Mocambique,2020,pib_per_capita_usd,518,USD,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação', coluna Nacional","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): valor nacional para comparação; ver nota da primeira linha"
Provincia de Tete,2020,pib_percentual_pib_nacional,7.6,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação'","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): participação da província no PIB nacional, único dado de magnitude/composição encontrado; não é série por ramo de atividade (Contas Regionais por ramo de atividade não localizadas)"
Provincia de Tete,2021,inflacao_media,7.47,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação'","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): inflação média provincial declarada; ver nota da primeira linha sobre acesso"
Mocambique,2021,inflacao_media,5.69,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação', coluna Nacional","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): valor nacional para comparação; ver nota da primeira linha"
Provincia de Tete,2021,inflacao_acumulada,6.85,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação'","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): inflação acumulada provincial declarada; ver nota da primeira linha sobre acesso"
Mocambique,2021,inflacao_acumulada,6.74,percentual,observado,C,"INE Folheto Provincial Tete 2021 p.1, quadro 'PIB e Inflação', coluna Nacional","extraído por pipeline/00_fetch/extrair_ine_folheto_tete.py do texto do PDF (pypdf), quadro 'PIB e Inflação'","contexto, não núcleo (§4.0): valor nacional para comparação; ver nota da primeira linha"
